IntegrationTime,velocity_phy0,velocity_phy1,velocity_phy2,Points0,Points1,Points2
24192.322,0.00078237476,-8.660679e-06,-0.0006493009,533.176,64.83035,515.2266
25175.85,0.001202516,-0.00014203133,-0.0011677253,533.9334,64.78405,514.5753
0.0,5.6667253e-05,0.0004889034,0.0006073506,529.1697,62.66551,515.1786
1279.2029,0.000303598,0.0004211229,0.0003751986,529.439,63.316612,515.8882
2840.388,0.0005185917,0.00036006916,0.00015623165,530.098,63.93231,516.32025
4377.948,0.0007209294,0.00028711354,-0.0001198372,530.97723,64.40589,516.3718
5651.514,0.0010998177,0.00020087745,-0.00057502463,531.8899,64.65983,516.05164
6446.9194,0.0018596923,5.5287946e-06,-0.0015161494,532.6909,64.68046,515.4533
6863.6875,0.0027578722,-5.0134866e-05,-0.0023064413,533.4707,64.7053,514.8278
7141.808,0.0040972154,-0.00023738266,-0.0041343165,534.1956,64.638565,514.1422
7313.4683,0.004505784,-0.00015661276,-0.0053851157,534.87714,64.611946,513.4109
7455.8525,0.004458093,0.0008122728,-0.0085169645,535.44965,64.61075,512.591
7559.507,-0.0039676316,0.0016322857,-0.013799853,535.4821,64.81861,511.61337
7628.7046,-0.017512437,-0.005895089,-0.02571021,534.9901,64.825615,510.7428
7660.2886,-0.025266055,-0.02551239,-0.042033546,534.42487,64.54954,509.96542
7678.3774,-0.021921692,-0.07098347,-0.07691046,534.0856,63.980644,509.21628
7687.7295,0.013955082,-0.18665698,-0.15452997,534.06433,63.210518,508.57874
7691.849,0.21646462,-0.42812827,-0.42368898,534.2901,62.50678,507.90512
0.0,8.950233e-05,8.638929e-05,7.367998e-05,529.1703,63.941154,516.2675
6916.728,0.00016518193,8.4594714e-05,2.6553864e-05,529.9892,64.42882,516.57007
12250.806,0.00016617712,5.101007e-05,-4.068715e-05,530.88995,64.86305,516.5796
17852.162,0.00020714714,3.062885e-05,-9.337023e-05,531.81665,65.05771,516.2582
22213.777,0.00044149457,-6.499939e-05,-0.00038838442,532.5873,64.9942,515.624
23904.123,0.0007168232,-4.4014912e-05,-0.0005813528,533.33984,64.9397,514.9677
24986.393,0.0011587507,-0.00017790713,-0.0011996236,534.061,64.86143,514.2794
25582.578,0.0019483045,-6.519361e-05,-0.0022009762,534.7283,64.80014,513.5372
0.0,2.7728049e-05,3.2575645e-05,3.7672315e-05,528.9721,63.03159,516.56366
17543.264,3.8081445e-05,2.6677802e-05,1.8506784e-05,529.58234,63.63836,517.07306
37525.676,3.9698334e-05,2.1603923e-05,2.8041777e-06,530.4319,64.09208,517.342
59609.016,7.497879e-05,2.0511903e-05,-2.5752846e-05,531.3564,64.40556,517.125
71820.7,6.65687e-05,1.1763413e-05,-5.4697295e-05,532.2247,64.66049,516.6995
0.0,0.000104707295,0.00031798595,0.00030680126,528.9125,63.639584,514.9704
2202.164,0.00022643103,0.00022713118,0.00016913092,529.3434,64.30973,515.57477
4960.17,0.00036845554,0.00018765342,5.908546e-05,530.136,64.84023,515.8753
7354.2935,0.0004980852,7.560927e-05,-0.00011006941,531.0833,65.159256,515.84845
9293.499,0.0007145117,5.6410504e-06,-0.0004358996,532.01416,65.21497,515.4872
10488.243,0.0014593096,-0.00012542399,-0.0011023806,532.801,65.129616,514.87604
