IntegrationTime,velocity_scaled0,velocity_scaled1,velocity_scaled2,Points0,Points1,Points2
13.446848,-4151.8877,-5398.7983,-3745.7969,3254.1895,8209.555,11909.818
13.450707,-4090.7024,-5799.031,-3248.3872,3237.868,8188.073,11896.697
13.454552,-4777.408,-5979.5244,-2712.7517,3222.1357,8165.5747,11884.601
13.458246,-3970.4946,-3946.821,-1327.4751,3201.965,8145.534,11875.034
0.0,-0.0038056152,-0.011597582,0.008108515,3581.7039,8791.119,11765.522
2047.2468,0.009112213,-0.0322568,0.04487831,3579.0977,8769.412,11786.065
2582.8247,0.043636464,-0.05235166,0.0706781,3585.1558,8752.559,11810.133
2888.3713,0.16911781,-0.078029834,0.06394638,3605.4653,8735.771,11824.476
3040.7153,1.0872973,0.43807584,-0.6162002,3635.4446,8736.147,11825.523
3063.3684,3.0392952,1.307638,0.55941,3662.5789,8747.956,11820.595
3072.3086,10.234055,0.76538336,5.710128,3688.213,8756.33,11833.739
3074.863,25.928537,-3.7218223,18.522379,3712.7861,8754.592,11850.86
3075.798,26.533802,-8.367133,17.868738,3738.2666,8750.986,11866.28
3076.7056,-23.55125,-50.277107,37.02749,3723.7695,8726.263,11875.144
3077.155,-59.046753,-6.7908916,13.389929,3701.3372,8710.114,11886.807
3077.6475,20.168015,29.923592,-42.822453,3681.4587,8726.012,11870.928
3078.183,83.043495,3.758343,28.359283,3708.0945,8738.569,11865.197
3078.5247,-172.39111,-134.84189,72.911865,3731.3682,8730.467,11882.306
3078.6548,-263.69785,-165.59636,157.69765,3708.0417,8715.063,11893.196
3078.7407,-120.96623,-15.8441515,52.614204,3685.0232,8703.622,11908.664
3078.9666,-36.377415,41.953907,-70.82879,3660.3003,8716.198,11897.235
3079.2998,-8.754971,19.868484,-41.87627,3649.4724,8728.987,11872.352
3079.9358,10.264733,8.400847,-9.970185,3652.5696,8742.123,11845.559
3081.744,34.23842,7.9499416,7.6694183,3679.8003,8754.53,11843.426
3082.5776,67.83978,-3.3248274,38.880787,3706.6228,8755.69,11856.8125
3082.961,63.9135,-21.944193,51.021954,3732.2805,8752.117,11871.943
3083.3152,-39.966324,-69.10375,68.874596,3713.646,8731.148,11882.576
3083.5999,-106.406555,-8.7907715,9.4263935,3691.1277,8716.279,11895.684
3083.8796,32.57934,49.639954,-64.41009,3676.9897,8732.077,11874.458
3084.2222,105.31013,9.74246,32.687344,3702.848,8745.244,11866.843
3084.4932,-67.24199,-99.94326,81.15925,3728.1953,8740.663,11882.222
3084.6997,-223.61835,-148.5377,131.22104,3705.363,8724.572,11893.166
